"","lambda","intensity"
"1",177.33,0
"2",177.55,0
"3",177.77,0
"4",177.99,0
"5",178.21,0
"6",178.43,0
"7",178.64,0
"8",178.86,0
"9",179.08,0
"10",179.3,0
"11",179.52,0
"12",179.74,0
"13",179.96,0
"14",180.18,0
"15",180.39,0
"16",180.61,0
"17",180.83,0
"18",181.05,0
"19",181.27,0
"20",181.49,0
"21",181.71,0
"22",181.92,0
"23",182.14,0
"24",182.36,0
"25",182.58,0
"26",182.8,0
"27",183.02,0
"28",183.23,0
"29",183.45,0
"30",183.67,0
"31",183.89,0
"32",184.11,0
"33",184.33,0
"34",184.55,0
"35",184.76,0
"36",184.98,0
"37",185.2,0
"38",185.42,0
"39",185.64,0
"40",185.86,0
"41",186.07,0
"42",186.29,0
"43",186.51,0
"44",186.73,0
"45",186.95,0
"46",187.17,0
"47",187.38,0
"48",187.6,0
"49",187.82,0
"50",188.04,0
"51",188.26,0
"52",188.47,0
"53",188.69,0
"54",188.91,0
"55",189.13,0
"56",189.35,0
"57",189.57,0
"58",189.78,0
"59",190,0
"60",190.22,0
"61",190.44,0
"62",190.66,0
"63",190.87,0
"64",191.09,0
"65",191.31,0
"66",191.53,0
"67",191.75,0
"68",191.97,0
"69",192.18,0
"70",192.4,0
"71",192.62,0
"72",192.84,0
"73",193.06,0
"74",193.27,0
"75",193.49,0
"76",193.71,0
"77",193.93,0
"78",194.15,0
"79",194.36,0
"80",194.58,0
"81",194.8,0
"82",195.02,0
"83",195.23,0
"84",195.45,0
"85",195.67,0
"86",195.89,0
"87",196.11,0
"88",196.32,0
"89",196.54,0
"90",196.76,0
"91",196.98,0
"92",197.2,0
"93",197.41,0
"94",197.63,0
"95",197.85,0
"96",198.07,0
"97",198.28,0
"98",198.5,0
"99",198.72,0
"100",198.94,0
"101",199.16,0
"102",199.37,0
"103",199.59,0
"104",199.81,0
"105",200.03,0
"106",200.24,0
"107",200.46,0
"108",200.68,0
"109",200.9,0
"110",201.11,0
"111",201.33,0
"112",201.55,0
"113",201.77,0
"114",201.98,0
"115",202.2,0
"116",202.42,0
"117",202.64,0
"118",202.86,0
"119",203.07,0
"120",203.29,0
"121",203.51,0
"122",203.73,0
"123",203.94,0
"124",204.16,0
"125",204.38,0
"126",204.6,0
"127",204.81,0
"128",205.03,0
"129",205.25,0
"130",205.46,0
"131",205.68,0
"132",205.9,0
"133",206.12,0
"134",206.33,0
"135",206.55,0
"136",206.77,0
"137",206.99,0
"138",207.2,0
"139",207.42,0
"140",207.64,0
"141",207.86,0
"142",208.07,0
"143",208.29,0
"144",208.51,0
"145",208.72,0
"146",208.94,0
"147",209.16,0
"148",209.38,0
"149",209.59,0
"150",209.81,0
"151",210.03,0
"152",210.25,0
"153",210.46,0
"154",210.68,0
"155",210.9,0
"156",211.11,0
"157",211.33,0
"158",211.55,0
"159",211.77,0
"160",211.98,0
"161",212.2,0
"162",212.42,0
"163",212.63,0
"164",212.85,0
"165",213.07,0
"166",213.29,0
"167",213.5,0
"168",213.72,0
"169",213.94,0
"170",214.15,0
"171",214.37,0
"172",214.59,0
"173",214.8,0
"174",215.02,0
"175",215.24,0
"176",215.45,0
"177",215.67,0
"178",215.89,0
"179",216.11,0
"180",216.32,0
"181",216.54,0
"182",216.76,0
"183",216.97,0
"184",217.19,0
"185",217.41,0
"186",217.62,0
"187",217.84,0
"188",218.06,0
"189",218.27,0
"190",218.49,0
"191",218.71,0
"192",218.92,0
"193",219.14,0
"194",219.36,0
"195",219.57,0
"196",219.79,0
"197",220.01,0
"198",220.22,0
"199",220.44,0
"200",220.66,0
"201",220.88,0
"202",221.09,0
"203",221.31,0
"204",221.53,0
"205",221.74,0
"206",221.96,0
"207",222.17,0
"208",222.39,0
"209",222.61,0
"210",222.82,0
"211",223.04,0
"212",223.26,0
"213",223.47,0
"214",223.69,0
"215",223.91,0
"216",224.12,0
"217",224.34,0
"218",224.56,0
"219",224.77,0
"220",224.99,0
"221",225.21,0
"222",225.42,0
"223",225.64,0
"224",225.86,0
"225",226.07,0
"226",226.29,0
"227",226.5,0
"228",226.72,0
"229",226.94,0
"230",227.15,0
"231",227.37,0
"232",227.59,0
"233",227.8,0
"234",228.02,0
"235",228.24,0
"236",228.45,0
"237",228.67,0
"238",228.88,0
"239",229.1,0
"240",229.32,0
"241",229.53,0
"242",229.75,0
"243",229.97,0
"244",230.18,0
"245",230.4,0
"246",230.61,0
"247",230.83,0
"248",231.05,0
