BioWare 3.0 Export
Device:	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA	Voltage Custom
Samples (#):	8000	8000	8000	8000	8000
Rate (Hz):	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000
Contact period start (sample #):	17	17	17	17	0
Contact period end (sample #):	19	19	19	19	7999
Contact period start time (s):	0.016983	0.016983	0.016983	0.016983	0.000000
Contact period end time (s):	0.018981	0.018981	0.018981	0.018981	7.991009
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft	aux
	N	N	N	N	V
0.000000	17.942016	-0.280880	7.598281	19.486629	4.798047
0.000999	17.861905	0.024300	8.422268	19.747982	4.798047
0.001998	17.243916	-0.040551	7.514356	18.810099	4.798047
0.002997	16.725109	-0.151179	6.583556	17.974853	4.797894
0.003996	16.561074	0.138743	6.987920	17.975523	4.798200
0.004995	16.118563	0.455367	7.155769	17.641441	4.797894
0.005994	15.592126	0.401961	5.713792	16.610942	4.797742
0.006993	16.225376	0.726215	4.905063	16.966139	4.798505
0.007992	16.892958	1.039025	5.484906	17.791453	4.798047
0.008991	17.255360	0.928397	6.965031	18.631184	4.798200
0.009990	17.697871	0.878805	7.186287	19.121446	4.797437
0.010989	17.869535	1.397612	7.346507	19.371236	4.797894
0.011988	17.461356	1.412871	7.140510	18.917772	4.797742
0.012987	16.572519	1.424315	7.285471	18.159162	4.798047
0.013986	16.313115	1.569276	7.972127	18.224575	4.797742
0.014985	16.686961	1.321317	8.689301	18.860129	4.797437
0.015984	16.637370	1.191615	9.726914	19.308932	4.797437
0.016983	16.671702	1.183986	10.360164	19.664193	4.797894
0.017982	17.041734	1.122950	10.543272	20.070931	4.797742
0.018981	16.694591	1.054284	10.108390	19.544832	4.797742
0.019980	16.229190	1.359464	9.238625	18.723968	4.797589
0.020979	16.603036	1.901160	8.941075	18.953047	4.797589
0.021978	16.320745	2.027047	8.620635	18.568547	4.797284
0.022977	16.065156	2.107156	8.269678	18.191121	4.797437
0.023976	16.408484	1.981270	7.903461	18.320165	4.797284
0.024975	17.098955	1.805791	7.933979	18.936293	4.797742
0.025974	17.648279	1.725681	7.727982	19.343253	4.797437
0.026973	17.705501	1.637942	6.942143	19.088242	4.797589
0.027972	17.621576	1.576905	6.492002	18.845495	4.797132
0.028971	17.102769	1.740940	6.133415	18.252515	4.797284
0.029970	16.305486	2.027047	6.118155	17.533101	4.797284
0.030969	15.817197	2.114786	5.759569	16.965514	4.797437
0.031968	15.916380	1.824865	5.606979	16.973494	4.797437
0.032967	16.198672	1.355650	5.774828	17.250607	4.797284
0.033966	16.095675	1.130579	6.003713	17.216083	4.797284
0.034965	15.912566	0.764363	6.186821	17.090077	4.797284
0.035964	15.351797	0.356184	5.561201	16.331917	4.797437
0.036963	14.890211	0.382887	4.782991	15.644232	4.797437
0.037962	14.386664	0.405776	4.462552	15.068348	4.797284
0.038961	13.745785	0.134928	5.217873	14.703435	4.797132
0.039960	11.937591	-0.013848	5.736680	13.244461	4.796979
0.040959	12.696727	0.016670	5.393352	13.794760	4.797132
0.041958	13.955596	-0.399138	4.782991	14.757879	4.796979
0.042957	13.066758	-0.982795	4.088706	13.726747	4.796826
0.043956	13.257496	-0.837835	4.119224	13.907953	4.797284
0.044955	14.462959	-0.597505	4.294703	15.098963	4.796979
0.045954	14.668955	-1.246014	4.332850	15.346152	4.796826
0.046953	14.142519	-1.593156	4.355739	14.883597	4.796673
0.047952	14.260777	-1.490158	4.508329	15.030481	4.796979
0.048951	13.982300	-1.799153	4.897434	14.924025	4.796673
0.049950	11.254750	-3.618791	6.171562	13.336162	4.797132
0.050949	9.793698	-3.542496	6.453854	12.252266	4.796673
0.051948	10.056916	-2.615511	5.416241	11.718282	4.796368
0.052947	9.446556	-3.882010	4.165001	11.029717	4.796979
0.053946	8.653086	-4.561036	4.050558	10.587066	4.796521
