BioWare 3.0 Export
Device:	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Voltage Custom	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA
Samples (#):	8000	8000	8000	8000	8000	8000	8000	8000	8000
Rate (Hz):	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000
Contact period start (sample #):	16	16	16	16	0	16	16	16	16
Contact period end (sample #):	16	16	16	16	7999	16	16	16	16
Contact period start time (s):	0.015984	0.015984	0.015984	0.015984	0.000000	0.015984	0.015984	0.015984	0.015984
Contact period end time (s):	0.015984	0.015984	0.015984	0.015984	7.991009	0.015984	0.015984	0.015984	0.015984
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft	aux	Fx	Fy	Fz	Ft
	N	N	N	N	V	N	N	N	N
0.000000	17.903099	-0.290753	7.574329	19.441604	4.798047	17.942016	-0.280880	7.598281	19.486629
0.000999	17.903099	-0.290753	7.574329	19.441604	4.798047	17.942016	-0.280880	7.598281	19.486629
0.001998	17.903099	-0.290753	7.574329	19.441604	4.798047	17.942016	-0.280880	7.598281	19.486629
0.002997	17.903099	-0.290753	7.574329	19.441604	4.797894	17.942016	-0.280880	7.598281	19.486629
0.003996	17.903099	-0.290753	7.574329	19.441604	4.798200	17.942016	-0.280880	7.598281	19.486629
0.004995	17.903099	-0.290753	7.574329	19.441604	4.797894	17.942016	-0.280880	7.598281	19.486629
0.005994	17.903099	-0.290753	7.574329	19.441604	4.797742	17.942016	-0.280880	7.598281	19.486629
0.006993	17.903099	-0.290753	7.574329	19.441604	4.798505	17.942016	-0.280880	7.598281	19.486629
0.007992	17.903099	-0.290753	7.574329	19.441604	4.798047	17.942016	-0.280880	7.598281	19.486629
0.008991	17.969838	-0.258438	7.624835	19.522295	4.798200	17.824468	-0.154415	7.840213	19.473173
0.009990	17.920933	-0.285277	7.588115	19.463317	4.797437	17.676552	0.005469	8.138453	19.460086
0.010989	17.867637	-0.314388	7.548086	19.399096	4.797894	17.507448	0.189692	8.467494	19.448526
0.011988	17.816080	-0.342403	7.509351	19.337019	4.797742	17.325530	0.390036	8.803501	19.437793
