BioWare 3.0 Export
Device:	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Voltage Custom	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA
Samples (#):	8000	8000	8000	8000	8000	8000	8000	8000	8000
Rate (Hz):	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000
Contact period start (sample #):	17	17	17	17	0	17	17	17	17
Contact period end (sample #):	19	19	19	19	7999	19	19	19	19
Contact period start time (s):	0.016983	0.016983	0.016983	0.016983	0.000000	0.016983	0.016983	0.016983	0.016983
Contact period end time (s):	0.018981	0.018981	0.018981	0.018981	7.991009	0.018981	0.018981	0.018981	0.018981
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft	aux	Fx	Fy	Fz	Ft
	N	N	N	N	V	N	N	N	N
0.000000	19.129518	-0.405877	8.029916	20.750487	4.798047	17.942016	-0.280880	7.598281	19.486629
0.000999	19.153168	-0.423277	8.002995	20.762248	4.798047	17.861905	0.024300	8.422268	19.747982
0.001998	19.163792	-0.431417	7.970087	20.759560	4.798047	17.243916	-0.040551	7.514356	18.810099
0.002997	19.154912	-0.425586	7.932793	20.736946	4.797894	16.725109	-0.151179	6.583556	17.974853
0.003996	19.119753	-0.400830	7.893802	20.689072	4.798200	16.561074	0.138743	6.987920	17.975523
0.004995	19.051850	-0.352372	7.856971	20.611383	4.797894	16.118563	0.455367	7.155769	17.641441
0.005994	18.945820	-0.276163	7.827305	20.500904	4.797742	15.592126	0.401961	5.713792	16.610942
0.006993	18.798239	-0.169509	7.810788	20.357085	4.798505	16.225376	0.726215	4.905063	16.966139
0.007992	18.608579	-0.031739	7.814048	20.182654	4.798047	16.892958	1.039025	5.484906	17.791453
0.008991	18.380075	0.135175	7.843810	19.984264	4.798200	17.255360	0.928397	6.965031	18.631184
0.009990	18.120392	0.326142	7.906145	19.772761	4.797437	17.697871	0.878805	7.186287	19.121446
0.010989	17.841865	0.532778	8.005507	19.562826	4.797894	17.869535	1.397612	7.346507	19.371236
0.011988	17.561148	0.743674	8.143605	19.371765	4.797742	17.461356	1.412871	7.140510	18.917772
