BioWare 3.0 Export
Device:	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Force plate (LP; 50Hz) 9286AA	Voltage Custom	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA	Force plate 9286AA
Samples (#):	8000	8000	8000	8000	8000	8000	8000	8000	8000
Rate (Hz):	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000	1001.000000
Contact period start (sample #):	512	512	512	512	0	512	512	512	512
Contact period end (sample #):	1005	1005	1005	1005	7999	1005	1005	1005	1005
Contact period start time (s):	0.511489	0.511489	0.511489	0.511489	0.000000	0.511489	0.511489	0.511489	0.511489
Contact period end time (s):	1.003996	1.003996	1.003996	1.003996	7.991009	1.003996	1.003996	1.003996	1.003996
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000	800.000000
Normalized length (m):	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000	1000.000000
abs time (s)	Fx	Fy	Fz	Ft	aux	Fx	Fy	Fz	Ft
	N	N	N	N	V	N	N	N	N
0.000000	0.003246	0.272761	0.249700	0.369810	4.798505	0.009359	0.244640	0.236184	0.340175
0.000999	0.002636	0.274574	0.248913	0.370615	4.798352	-0.032603	0.156901	0.137000	0.210832
0.001998	0.002690	0.275088	0.247958	0.370357	4.798505	-0.089825	0.015755	0.075964	0.118690
0.002997	0.003660	0.273722	0.246892	0.368636	4.798047	-0.028789	-0.102502	-0.007961	0.106766
0.003996	0.005795	0.269880	0.245803	0.365086	4.798505	-0.024974	-0.148279	0.014928	0.151107
0.004995	0.009304	0.263008	0.244822	0.359440	4.797742	0.093284	-0.144465	0.182777	0.250957
0.005994	0.014330	0.252667	0.244117	0.351623	4.797894	0.161949	-0.007133	0.159889	0.227690
0.006993	0.020907	0.238613	0.243891	0.341842	4.797742	0.161949	0.153086	0.167518	0.278793
0.007992	0.028926	0.220872	0.244377	0.330668	4.797894	0.100913	0.252270	0.419292	0.499629
0.008991	0.038103	0.199820	0.245819	0.319072	4.798047	-0.002085	0.202678	0.365885	0.418276
0.009990	0.047963	0.176227	0.248454	0.308360	4.797742	-0.078380	0.076791	0.358256	0.374683
0.010989	0.057837	0.151266	0.252491	0.299964	4.798047	-0.055492	-0.007133	0.167518	0.176614
0.011988	0.066893	0.126461	0.258082	0.295082	4.797894	0.028433	-0.064355	0.159889	0.174684
