SpectraSuite Data File
++++++++++++++++++++++++++++++++++++
Date: Wed Jul 25 10:38:40 HST 2007
User: guest
Dark Spectrum Present: Yes
Reference Spectrum Present: No
Number of Sampled Component Spectra: 1
Spectrometers: USB4E01242
Integration Time (usec): 100000 (USB4E01242)
Spectra Averaged: 1 (USB4E01242)
Boxcar Smoothing: 10 (USB4E01242)
Correct for Electrical Dark: No (USB4E01242)
Strobe/Lamp Enabled: No (USB4E01242)
Correct for Detector Non-linearity: No (USB4E01242)
Correct for Stray Light: No (USB4E01242)
Number of Pixels in Processed Spectrum: 3648
>>>>>Begin Processed Spectral Data<<<<<	
177.33	0
177.55	0
177.77	0
177.99	0
178.21	0
178.43	0
178.64	0
178.86	0
179.08	0
179.3	0
179.52	0
179.74	0
179.96	0
180.18	0
180.39	0
180.61	0
180.83	0
181.05	0
181.27	0
181.49	0
181.71	0
181.92	0
182.14	0
182.36	0
182.58	0
182.8	0
183.02	0
183.23	0
183.45	0
183.67	0
183.89	0
184.11	0
184.33	0
184.55	0
184.76	0
184.98	0
185.2	0
185.42	0
185.64	0
185.86	0
186.07	0
186.29	0
186.51	0
186.73	0
186.95	0
187.17	0
187.38	0
187.6	0
187.82	0
188.04	0
188.26	0
188.47	0
188.69	0
188.91	0
189.13	0
189.35	0
189.57	0
189.78	0
190	0
190.22	0
190.44	0
190.66	0
190.87	0
191.09	0
191.31	0
191.53	0
191.75	0
191.97	0
192.18	0
192.4	0
192.62	0
192.84	0
193.06	0
193.27	0
193.49	0
193.71	0
193.93	0
194.15	0
194.36	0
194.58	0
194.8	0
195.02	0
195.23	0
195.45	0
195.67	0
195.89	0
196.11	0
196.32	0
196.54	0
196.76	0
196.98	0
197.2	0
197.41	0
197.63	0
197.85	0
198.07	0
198.28	0
198.5	0
198.72	0
198.94	0
199.16	0
199.37	0
199.59	0
199.81	0
200.03	0
200.24	0
200.46	0
200.68	0
200.9	0
201.11	0
201.33	0
201.55	0
201.77	0
201.98	0
202.2	0
202.42	0
202.64	0
202.86	0
203.07	0
203.29	0
203.51	0
203.73	0
203.94	0
204.16	0
204.38	0
204.6	0
204.81	0
205.03	0
205.25	0
205.46	0
205.68	0
205.9	0
206.12	0
206.33	0
206.55	0
206.77	0
206.99	0
207.2	0
207.42	0
207.64	0
207.86	0
208.07	0
208.29	0
208.51	0
208.72	0
208.94	0
209.16	0
209.38	0
209.59	0
209.81	0
210.03	0
210.25	0
210.46	0
210.68	0
210.9	0
211.11	0
211.33	0
211.55	0
211.77	0
211.98	0
212.2	0
212.42	0
212.63	0
212.85	0
213.07	0
213.29	0
213.5	0
213.72	0
213.94	0
214.15	0
214.37	0
214.59	0
214.8	0
215.02	0
215.24	0
215.45	0
215.67	0
215.89	0
216.11	0
216.32	0
216.54	0
216.76	0
216.97	0
217.19	0
217.41	0
217.62	0
217.84	0
218.06	0
218.27	0
218.49	0
218.71	0
218.92	0
219.14	0
219.36	0
219.57	0
219.79	0
220.01	0
220.22	0
220.44	0
220.66	0
220.88	0
221.09	0
221.31	0
221.53	0
221.74	0
221.96	0
222.17	0
222.39	0
222.61	0
222.82	0
223.04	0
223.26	0
223.47	0
223.69	0
223.91	0
224.12	0
224.34	0
224.56	0
224.77	0
224.99	0
225.21	0
225.42	0
225.64	0
225.86	0
226.07	0
226.29	0
226.5	0
226.72	0
226.94	0
227.15	0
227.37	0
227.59	0
227.8	0
228.02	0
228.24	0
228.45	0
228.67	0
228.88	0
229.1	0
229.32	0
229.53	0
229.75	0
229.97	0
230.18	0
230.4	0
230.61	0
230.83	0
231.05	0
231.26	0
231.48	0
231.7	0
231.91	0
232.13	0
232.34	0
232.56	0
232.78	0
232.99	0
233.21	0
233.42	0
233.64	0
233.86	0
234.07	0
234.29	0
234.5	0
234.72	0
234.94	0
235.15	0
235.37	0
235.58	0
235.8	0
236.02	0
236.23	0
236.45	0
236.66	0
236.88	0
237.1	0
237.31	0
237.53	0
237.74	0
237.96	0
238.17	0
238.39	0
238.61	0
238.82	0
239.04	0
239.25	0
239.47	0
239.69	0
239.9	0
240.12	0
240.33	0
240.55	0
240.76	0
240.98	0
241.2	0
241.41	0
241.63	0
241.84	0
242.06	0
242.27	0
242.49	0
242.7	0
242.92	0
243.14	0
243.35	0
243.57	0
243.78	0
244	0
244.21	0
244.43	0
244.64	0
244.86	0
245.08	0
245.29	0
245.51	0
245.72	0
245.94	0
246.15	0
246.37	0
246.58	0
246.8	0
247.01	0
247.23	0
247.45	0
247.66	0
247.88	0
248.09	0
248.31	0
248.52	0
248.74	0
248.95	0
249.17	0
249.38	0
249.6	0
249.81	0
250.03	0
250.24	0
250.46	0
250.67	0
250.89	0
251.1	0
251.32	0
251.53	0
251.75	0
251.97	0
252.18	0
252.4	0
252.61	0
252.83	0
253.04	0
253.26	0
253.47	0
253.69	0
253.9	0
254.12	0
254.33	0
254.55	0
254.76	0
254.98	0
255.19	0
255.41	0
255.62	0
255.84	0
256.05	0
256.27	0
256.48	0
256.7	0
256.91	0
257.13	0
257.34	0
257.55	0
257.77	0
257.98	0
258.2	0
258.41	0
258.63	0
258.84	0
259.06	0
259.27	0
259.49	0
259.7	0
259.92	0
260.13	0
260.35	0
260.56	0
260.78	0
260.99	0
261.21	0
261.42	0
261.63	0
261.85	0
262.06	0
262.28	0
262.49	0
262.71	0
262.92	0
263.14	0
263.35	0
263.57	0
263.78	0
264	0
264.21	0
264.42	0
264.64	0
264.85	0
265.07	0
265.28	0
265.5	0
265.71	0
265.93	0
266.14	0
266.35	0
