garmani      m 103.0 23.5151.0 r 41.0 71.0   .  33 17.5   .  n
sagrei       m  54.0  3.8 93.5 r 23.0 39.0 13.5 18   .    .  n
lineatopus   m  62.5   .  82.0 r 28.0 47.0 19.0 20 14.5   .  y
sagrei       m  51.0  3.9104.0 . 22.0 36.0 14.0 17 12.5   .  y
sagrei       m  50.0  3.2 65.0 r 21.5 37.0 13.5 18 12.0   .  n
sagrei       m  45.5  3.1   .  .   .    .    .   .   .    .  .
sagrei       m  44.0  3.1   .  .   .    .    .   .   .    .  .
sagrei       f  42.5  1.6 73.0 r 17.0 29.5 11.5 16 10.0   .  .
sagrei       f  43.0  1.7 73.5 . 17.0 32.5 12.5 19 10.0   .  .
sagrei       m  49.5  3.4 99.0 . 21.0 36.0   .  16 12.0   .  .  
grahami      f  46.0  2.6 85.0 . 19.5 33.5 13.5 24 11.0   .  y
grahami      m  53.5  4.0 79.0 r 21.0 42.0 16.0 25 12.5 12.0 n
lineatopus   f  37.0  1.2 69.0 . 17.5 32.5 11.0 18  9.0  8.5 y
grahami      m  65.0  8.7114.0 . 29.5 48.0 19.0 27 18.0 18.0 y
grahami      f  41.5  1.7 76.0 . 19.0 31.0 12.0 22  8.0  6.0 n
lineatopus   f  40.0  1.5 74.0 . 18.0 31.5 11.0 17  8.5  8.5 n
valencienni  f  59.5  3.9 74.0 . 21.5 33.0 16.0 23 12.5 13.0 n
valencienni  f  57.0  3.2 74.0 . 18.5 31.0 15.5 24 11.0 11.5 n
valencienni  f  53.0  2.6 68.0 . 19.0 29.0 15.0 23 10.0 12.0 n
valencienni  f  53.0  2.6 70.5 . 19.0 30.0 15.0 22  9.0 10.5 n
valencienni  f  49.0  2.0 62.0 . 16.5 27.0 14.0 22  9.5 10.0 n
grahami      m  68.0  8.2122.5 . 32.5 52.5 20.0 26   .    .  n
lineatopus   m  55.0  4.2 87.0 r 25.5 44.5 17.0 20 13.0 13.0 y
lineatopus   m  65.0  6.2123.0 . 31.5 53.5 20.0 18 17.0 16.5 n
lineatopus   m  55.0  4.3   .  .   .    .    .   .   .    .  y
lineatopus   m  55.0  5.0   .  .   .    .    .   .   .    .  y
grahami      m  62.5  7.0 71.0 r 30.0 48.5 19.0 24   .    .  .
lineatopus   m  60.0  5.2 98.0 . 28.0 49.0 18.0 19   .    .  .
lineatopus   m  52.5  3.8 95.0 . 25.0 42.0 17.0 19   .    .  .
grahami      m  68.0 11.0111.0 r 32.0 52.0 21.0 26 19.0 17.0 y
garmani      m 129.0 57.0254.0 . 53.0 86.0 35.0 32 32.0 27.0 y
garmani      f  77.0 10.2152.0 . 31.0 54.0 20.0 30 18.5 18.0 y
lineatopus   m  59.0  5.8 92.0 r 29.0 47.0   .  18 12.5 13.5 y
valencienni  f  53.0  2.2 65.0 . 18.0 29.0 14.0 22  9.0 11.0 .
grahami      m  59.0  8.5107.0 . 27.0 45.0 18.0 24   .    .  .
grahami      f  41.0  4.4 73.5 . 19.5 33.5 13.0 23   .    .  .
valencienni  m  48.0  4.2 74.0 . 20.0 30.5 15.0 24   .    .  .
garmani      f  84.5 14.0140.5 r 35.0 58.0 23.0 31 20.0 18.0 y
lineatopus   f  44.5  2.2 79.0 . 20.0 35.5 12.5 16   .    .  y
lineatopus   f  44.5  2.3 70.5 . 22.0 36.5 12.5 17 11.5  9.5 n
grahami      f  45.0  2.3 72.0 . 20.0 32.0 13.0 25   .    .  n
lineatopus   m  61.0  5.8111.5 . 28.0 48.0 19.0 20 13.0 13.0 .
lineatopus   m  60.5  5.5120.0 . 29.5 51.0 19.0 18 14.0 16.0 .
grahami      f  40.5  1.9 74.0 . 20.0 33.0 13.5 24 10.5  8.0 .
lineatopus   f  42.5  1.6 74.0 . 19.5 34.0 12.5 18  9.5  9.5 .
sagrei       m  51.0  3.4 78.0 r 22.0 37.0 13.0 19 10.5 12.0 .
sagrei       m  47.0  2.4 98.0 . 21.5 36.0 12.0 18 11.0 10.0 .
sagrei       f  37.5  1.2 52.0 . 16.0 27.0 10.0 15  8.5  7.5 .
sagrei       f  34.5  1.0 60.0 . 15.0 25.5  9.5 16  7.0  6.5 .
garmani      m 115.0 40.0242.0 . 50.5 81.0 31.5 29 26.0 24.0 y
valencienni  m  70.0  5.2 76.0 r 25.0 38.5 20.0 25 11.0 12.0 .
garmani      f  75.0 10.5156.0 . 30.0 53.0 19.5 28 15.0 16.0 y
valencienni  m  61.0  3.6 77.0 . 21.0 30.5 16.5 24   .    .  .
grahami      f  46.0   .    .  .   .    .    .   .   .    .  y
grahami      m  69.0   .    .  .   .    .    .   .   .    .  y
sagrei       m  51.0   .    .  .   .    .    .   .   .    .  y
sagrei       m  48.0   .    .  .   .    .    .   .   .    .  n
