stratulus    m  43.5  1.9 44.0 r 21.0 32.0 11.5 19   .    .  y
evermanni    m  65.5  5.7 81.0 r 31.0 49.0 18.0 28   .    .  n
krugi        j  49.0  1.2105.0 . 16.0 32.0 10.5 18   .    .  .
krugi        m  48.0  2.6126.0 . 21.0 39.0 14.0 17   .    .  .
pulchellus   m  42.0  1.6110.0 . 17.5 31.5 12.3 18   .    .  .
stratulus    jm 32.0  1.3 58.5 r 18.0 28.5 10.5 21   .    .  .
krugi        m  51.0  2.8143.5 . 21.0 39.0 14.8 20   .    .  .
krugi        f  40.5  1.6105.0 . 16.0 31.0 11.5 18   .    .  y
krugi        m  49.0  2.9113.0 . 21.5 43.0 14.5 20   .    .  y
krugi        m  42.0  1.9 85.0 r 18.5 35.0 13.5 20   .    .  .
krugi        m  49.0  3.0121.0 . 21.5 41.0 15.0 20   .    .  .
cristatellus m  68.0  9.0130.0 . 33.0 57.0 19.5 21   .    .  n
cristatellus of 54.0  4.4 92.0 . 27.0 46.0 16.0 21   .    .  y
cristatellus m  72.0  9.8 82.0 r 34.0 58.0 21.0 22   .    .  n
cristatellus f  47.5  3.1 56.0 r 24.0 39.5 14.0 18   .    .  n
cristatellus m  66.0  8.2124.0 . 31.0 53.5 18.0 21   .    .  .
cristatellus m  68.5  9.0 87.0 r 33.0 57.0 19.0 21   .    .  .
cristatellus m  59.0  6.5 90.0 r 29.0 50.5 16.0 21   .    .  .
gundlachi    m  65.0  7.0 95.0 r 33.0 58.0 19.0 19   .    .  y
gundlachi    f  40.0  1.8 70.5 . 22.0 36.5 11.0 14   .    .  n
gundlachi    m  62.5   . 108.5 r 32.5 55.0 19.5 17   .    .  y
gundlachi    f  43.5  2.7 78.5 r 22.5 40.0 13.0 16   .    .  n
gundlachi    f  42.0  1.9 82.5 . 24.0 42.0 13.0 15   .    .  .
gundlachi    f  43.0  2.2 26.5 r 22.0 38.5 12.0 15   .    .  .
gundlachi    f  44.5  2.3 73.0 . 22.0 35.0 12.0 15   .    .  .
gundlachi    f  40.0  1.8 77.5 . 22.0 39.0 13.0 19   .    .  .
gundlachi    f  39.5  1.7 72.0 . 19.0 36.0 10.5 15   .    .  .
gundlachi    m  64.0  7.5 79.0 r 31.0 55.5 19.0 18   .    .  .
gundlachi    f  45.5  2.5 74.5 . 21.0 34.0 14.0 14   .    .  .
