"species","sex","ecomorph","pht","pdia","dist1","dist2","dist3"
"GA","F","CG",4,0.11,0.6,0.45,0.4
"GA","F","CG",4,0.15,0.04,0.4,0.18
"GA","F","CG",1.52,0.63,0.01,0.15,0.12
"GA","F","CG",1.64,0.36,0.46,0.42,0.39
"GA","F","CG",1.18,0.08,0.18,0.19,0.28
"GA","F","CG",3,0.08,0.38,0.47,0.18
"GA","F","CG",2.5,0.14,0.07,0.18,0.08
"GA","F","CG",2.2,0.11,0.06,0.18,0.23
"GA","F","CG",3.1,0.19,0.2,0.45,0.14
"GA","F","CG",2.5,0.09,0.06,0.07,0.08
"GA","F","CG",1.82,0.53,1,0.94,0.63
"GA","F","CG",2.46,0.38,0.13,0.62,1
"GA","F","CG",1.37,0.15,0.22,0.13,0.32
"GA","F","CG",2.6,0.12,0.32,0.13,0.28
"GA","F","CG",1.72,0.085,0.32,0.15,0.15
"GA","F","CG",1.55,0.095,0.09,0.15,0.13
"GA","F","CG",3.66,0.08,0.19,0.1,0.28
"GA","F","CG",1.2,0.26,0.21,0.5,0.67
"GA","F","CG",1.07,0.045,0.07,0.6,0.74
"GA","F","CG",0.8,0.37,1,1,1
"GA","F","CG",1.2,0.065,0.26,0.93,0.11
"GA","F","CG",3.3,0.08,0.18,0.77,0.36
"GA","F","CG",2.9,0.13,0.22,0.36,0.43
"GA","F","CG",2.5,0.07,0.2,0.35,0.1
"GA","F","CG",1.5,0.06,0.47,0.41,0.13
"GA","F","CG",4,0.06,0.2,0.15,0.9
"GA","F","CG",1.5,0.08,0.1,0.45,0.4
"GA","F","CG",3.5,0.25,0.12,0.3,0.4
"GA","F","CG",3.5,0.025,0.05,0.3,0.18
"GA","F","CG",6.5,0.22,0.12,0.2,0.4
"GA","F","CG",0.54,0.17,0.3,0.23,0.21
"GA","F","CG",1.85,0.065,0.33,0.53,0.72
"GA","F","CG",0.51,0.34,0.1,1,0.46
"GA","F","CG",12,0.18,0.45,1,0.65
"GA","F","CG",5,0.38,0.3,0.25,0.3
"GA","F","CG",3.2,0.3,0.25,0.3,0.9
"GA","M","CG",3,0.03,0.01,0.02,0.05
"GA","M","CG",3.5,0.17,0.13,0.14,0.81
"GA","M","CG",2.18,0.36,0.19,0.24,0.39
"GA","M","CG",2.24,0.16,0.12,0.58,0.4
"GA","M","CG",2.52,0.13,0.66,0.23,0.54
"GA","M","CG",2.91,0.12,0.4,0.52,0.37
"GA","M","CG",1.63,0.1,0.18,0.13,0.18
"GA","M","CG",6.3,0.16,0.21,0.76,1
"GA","M","CG",0.72,0.06,0.43,0.3,0.13
"GA","M","CG",1.88,0.1,0.06,0.22,0.25
"GA","M","CG",4.94,0.18,0.49,0.7,1
"GA","M","CG",3.64,0.23,0.8,0.22,0.29
"GA","M","CG",3.85,0.15,0.22,0.49,0.23
"GA","M","CG",1.84,0.1,0.16,0.34,0.6
"GA","M","CG",2.14,0.11,0.22,0.47,0.23
"GA","M","CG",2.3,0.06,0.13,0.21,0.08
"GA","M","CG",3.04,0.065,0.44,0.33,0.86
"GA","M","CG",3.19,0.1,0.28,0.44,0.62
"GA","M","CG",1.75,0.22,1,1,1
"GA","M","CG",2.56,0.33,1,1,0.59
"GA","M","CG",5.75,0.17,0.27,0.32,0.51
"GA","M","CG",3.25,0.021,0.11,0.68,0.55
"GA","M","CG",3.9,0.053,0.22,0.84,0.26
"GA","M","CG",3.6,0.1,0.22,0.67,0.41
"GA","M","CG",3.4,0.037,0.13,0.49,0.76
"GA","M","CG",6,0.07,0.3,1,0.4
"GA","M","CG",1.75,0.05,0.33,0.45,0.7
"GA","M","CG",5,0.04,0.1,0.6,0.15
"GA","M","CG",2.5,0.065,0.09,0.4,0.3
"GA","M","CG",3.1,0.17,0.5,0.65,0.25
"GA","M","CG",3.1,0.2,0.08,0.7,0.1
"GA","M","CG",2.25,0.085,0.08,0.36,0.38
"GA","M","CG",9,0.15,0.2,0.25,0.55
"GA","M","CG",3.75,0.05,0.12,0.25,0.99
"GA","M","CG",5.5,0.03,0.15,0.15,0.25
"GA","M","CG",6,0.22,0.4,1,0.77
"GA","M","CG",0.5,0.003,0.04,0.12,0.42
"GA","M","CG",3.2,0.08,0.2,0.95,1
"GA","M","CG",1.55,0.27,0.5,1,1
"GA","M","CG",4.75,0.18,0.22,0.18,0.15
"GA","M","CG",9,0.15,1,1,0.2
"GR","M","TC",0.54,0.05,0.04,0.05,0.41
"GR","M","TC",3,0.1,0.13,0.05,0.16
"GR","M","TC",1.74,0.19,0.48,0.34,0.49
"GR","M","TC",0.85,0.05,0.16,0.18,0.46
"GR","M","TC",0.89,0.02,0.22,0.23,0.51
"GR","M","TC",1.6,0.03,0.39,0.1,0.16
"GR","M","TC",1.17,0.25,0.42,0.45,0.96
"GR","M","TC",1.52,0.21,0.06,0.12,0.41
"GR","M","TC",2.5,0.18,0.01,0.55,0.89
"GR","M","TC",1.75,0.17,0.3,0.38,0.47
"GR","M","TC",0.85,0.06,0.47,0.45,0.64
"GR","M","TC",0.57,0.09,0.14,0.06,0.16
"GR","M","TC",0.95,0.16,0.11,0.64,0.45
"GR","M","TC",0.73,0.24,0.8,0.36,0.14
"GR","M","TC",2,0.11,0.54,0.36,0.49
"GR","M","TC",2.52,0.1,0.1,0.1,0.5
"GR","M","TC",1.6,0.03,0.41,0.26,0.05
"GR","M","TC",1.6,0.14,0.07,0.23,0.08
