"species","sex","ecomorph","pht","pdia","dist1","dist2","dist3"
"CR","F","TG",0.8,0.03,1,1,0.05
"CR","F","TG",0.44,0.05,1,1,0.35
"CR","F","TG",0.08,0.055,1,1,0.05
"CR","F","TG",0.34,0.175,0.15,0.32,0.81
"CR","F","TG",0.84,0.14,0.6,0.15,1
"CR","F","TG",0,0,0.34,1,1
"CR","F","TG",0.6,0.36,0.28,0.33,1
"CR","F","TG",0.35,0.032,0.04,0.25,0.28
"CR","F","TG",1.64,0.255,0.27,0.64,1
"CR","F","TG",0.8,0.075,0.21,1,0.36
"CR","F","TG",0.3,0.02,0.09,0.12,0.17
"CR","F","TG",1.1,0.04,0.14,1,0.4
"CR","F","TG",0.82,0.16,0.16,0.45,0.35
"CR","F","TG",0.73,0.09,0.1,1,0.7
"CR","F","TG",0.96,0.02,0.11,0.58,0.16
"CR","F","TG",0.78,0.068,0.17,0.63,0.32
"CR","F","TG",1.19,0.42,0.76,1,1
"CR","F","TG",0.6,0.09,0.27,0.81,0.15
"CR","F","TG",0.69,0.11,0.35,0.13,1
"CR","F","TG",0.55,0.04,0.05,0.15,0.1
"CR","F","TG",0.73,0.53,1,1,0.63
"CR","F","TG",0.88,0.12,0.17,1,1
"CR","F","TG",0.68,0.014,0.42,1,0.44
"CR","F","TG",2.8,0.18,0.49,1,0.23
"CR","F","TG",1.67,0.44,0.99,1,1
"CR","F","TG",1.82,0.17,1,1,1
"CR","F","TG",0.81,0.025,0.06,1,1
"CR","F","TG",0.91,0.72,0.44,1,1
"CR","F","TG",1.18,0.014,0.21,1,1
"CR","F","TG",1.42,0.16,0.77,1,1
"CR","F","TG",0.6,0.03,0.15,0.21,0.29
"CR","F","TG",0.96,0.017,0.05,1,1
"CR","F","TG",0.38,0.06,0.27,0.6,0.3
"CR","F","TG",0.19,0.16,0.07,1,0.55
"CR","F","TG",0.55,0.13,0.09,1,0.06
"CR","F","TG",0.21,0.09,0.2,0.51,0.44
"CR","F","TG",0.39,0.44,0.3,1,1
"CR","F","TG",0.61,0.15,0.13,0.62,0.22
"CR","F","TG",1.2,0.8,0.68,1,1
"CR","F","TG",0.52,0.005,0.06,0.47,1
"CR","F","TG",2,0.61,0.15,1,1
"CR","F","TG",1.75,0.61,0.12,1,1
"CR","F","TG",0.72,0,0.2,1,0.22
"CR","F","TG",0.75,0.15,0.33,1,1
"CR","M","TG",0.88,0.07,1,1,1
"CR","M","TG",0.3,0.13,1,1,0.68
"CR","M","TG",2,0.31,1,1,1
"CR","M","TG",0,0,1,1,0.29
"CR","M","TG",0.51,0.113,0.3,0.12,0.41
"CR","M","TG",0.26,0.205,0.15,0.35,1
"CR","M","TG",3,0.23,1,1,0.13
"CR","M","TG",0.74,0.017,0.46,1,0.25
"CR","M","TG",0.7,0.01,0.78,0.48,0.77
"CR","M","TG",1.2,0.14,0.16,1,0.18
"CR","M","TG",0.7,0.017,0.2,0.62,0.83
"CR","M","TG",1.36,0.085,0.29,1,0.68
"CR","M","TG",0.87,0.025,0.04,0.21,0.09
"CR","M","TG",0.97,0.4,0.77,1,1
"CR","M","TG",1.6,0.04,0.21,0.67,0.3
"CR","M","TG",1.43,0.05,0.2,1,0.09
"CR","M","TG",2.75,0.05,0.2,0.2,0.14
"CR","M","TG",0.67,0.04,0.1,0.39,0.26
"CR","M","TG",0.96,0.04,0.1,1,0.4
"CR","M","TG",1.26,0.022,0.72,1,0.11
"CR","M","TG",1.21,0.06,0.53,0.34,0.5
"CR","M","TG",1.36,0.26,0.35,0.63,1
"CR","M","TG",1.54,0.09,0.19,1,0.33
"CR","M","TG",0.9,0.06,0.12,0.37,0.9
"CR","M","TG",1,0.12,0.23,0.21,0.72
"CR","M","TG",1.25,0.09,0.56,0.61,0.89
"CR","M","TG",1.33,0.02,0.59,1,0.96
"CR","M","TG",0.62,0.21,0.47,1,0.31
"CR","M","TG",1.12,0.07,0.14,0.15,0.18
"CR","M","TG",0.63,0.028,0,0,0
"CR","M","TG",0.25,0.01,0,0,0
"CR","M","TG",0.41,0.008,0,0,0
"CR","M","TG",0.42,0.01,0,0,0
"CR","M","TG",1.92,0.04,0.44,0.91,0.78
"CR","M","TG",0.72,0.11,0.49,1,0.47
"CR","M","TG",1.75,0.61,0.105,1,1
"CR","M","TG",2,0.043,0.09,0.45,0.13
"CR","M","TG",1.4,0.1,0.36,0.56,1
"CR","M","TG",1.41,0.07,0.32,1,0.15
"CR","M","TG",1.45,0.025,0.26,1,0.28
"CR","M","TG",0.8,0.009,0.04,0.78,1
"CR","M","TG",1.5,0.002,0.2,1,0.8
"CR","M","TG",0.16,0.24,0.22,1,0.45
"CR","M","TG",1.3,0.03,0.4,0.58,0.47
"CU","F","CG",3,0.1,0.2,0.5,0.1
"CU","F","CG",3,0.1,0.2,0.5,0.1
"CU","F","CG",3,0.1,0.2,0.5,0.1
"CU","F","CG",3,0.1,0.2,0.5,0.1
"CU","F","CG",3,0.1,0.2,0.5,0.1
"CU","F","CG",3,0.1,0.2,0.5,0.1
"CU","F","CG",3,0.1,0.2,0.5,0.1
"CU","F","CG",1.14,0.083,0,0,0
"CU","M","CG",5,0.08,0.2,0.35,0.15
"CU","M","CG",4.5,0.15,0.15,0.3,0.4
"CU","M","CG",4,0.15,0.1,0.4,0.3
"CU","M","CG",2.25,0.18,0.2,0.6,0.5
"CU","M","CG",2.25,0.18,0.2,0.6,0.5
"CU","M","CG",2.5,0.18,0.15,0.6,0.1
"CU","M","CG",4,0.05,0.7,0.2,0.1
"CU","M","CG",3,0.07,0.15,0.1,0.25
"CU","M","CG",3,0.08,0.15,0.1,0.25
"CU","M","CG",3,0.08,0.15,0.1,0.25
"CU","M","CG",3,0.08,0.15,0.1,0.25
"CU","M","CG",3.2,0.11,0.24,0.14,0.06
"CU","M","CG",3.3,0.13,0.12,0.14,1
"CU","M","CG",1.6,0.097,0,0,0
"CU","M","CG",0.5,0.148,0,0,0
"CU","M","CG",0.38,0.075,0,0,0
"CU","M","CG",0.81,0.061,0,0,0
"EV","F","TC",2,0.2,1,1,0.3
"EV","F","TC",0.95,0.25,0,0,0
"EV","F","TC",9,0.025,0.02,0.3,1
"EV","F","TC",2.27,0.14,1,0.1,0.2
"EV","F","TC",1.15,0.13,0.14,0.26,0.11
"EV","F","TC",7.5,0.2,0.1,1,0.04
"EV","F","TC",1.06,0.065,0.03,0.48,1
"EV","F","TC",0.24,0.27,0.22,0.28,0.75
"EV","F","TC",1.82,0.06,0.1,0.25,0.6
"EV","F","TC",1.31,0.04,0.08,0.13,0.24
"EV","F","TC",0.17,0.034,0.17,0.59,0.37
"EV","F","TC",0.7,0.105,0.17,1,0.53
"EV","F","TC",0.94,0.014,0.02,0.27,0.66
"EV","F","TC",1.01,0.034,0.09,1,0.11
"EV","F","TC",2,0.035,0.19,1,1
"EV","F","TC",1.36,0.19,0.97,0.89,0.9
"EV","F","TC",1.77,0.21,1,1,0.44
"EV","F","TC",2.35,0.18,1,0.21,0.16
"EV","F","TC",2.04,0.29,0.21,0.46,0.31
