CR cristatellus f 62.0i 1.125
CR cristatellus m  8.0i 4.000
CR cristatellus m 10.0i 3.000
CR cristatellus m  6.0  5.750
CR cristatellus m 68.0  1.5   
CR cristatellus m  4.0  3.75 
CR cristatellus f 30.0  0.625
CR cristatellus f 11.0  0.375
CR cristatellus m 42.0  4.5  
CR cristatellus m 33.5 10.5  
CR cristatellus f 44.0  1.625
CR cristatellus m 70.0  3.75 
CR cristatellus f 39.0  3.75 
CR cristatellus f  0.0  999  
CR cristatellus m  9.0f12.0  
CR cristatellus f 12.0f 1.0  
CR cristatellus f 10.5  1.75 
CR cristatellus m 53.0  1.5  
CR cristatellus m  6.0f 1.0  
CR cristatellus m  6.5f 2.5  
CR cristatellus f  2.5f 2.25 
CR cristatellus m 10.0f 1.0   
CR cristatellus m  9.0f 3.0  
CR cristatellus m 20.5 29.0  
CR cristatellus f 25.0 3.25  
CR cristatellus m 69.0 1.25 
CR cristatellus f 24.0 0.75 
CR cristatellus m 36.8 1.125
CR cristatellus f 28.5 18.25
CR cristatellus f 25.0 1.75 
CR cristatellus f 22.0 19.75
CR cristatellus m  5.0f 3.0 
CR cristatellus m 52.0  2.25 
EV evermanni    m 29.0 50.0   
EV evermanni    f 30.0 33.0   
EV evermanni    m 15.0  6.0  
EV evermanni    m 37.0  6.5  
EV evermanni    m 22.0f 2.0  
EV evermanni    f 4.25  1.75 
EV evermanni    m 48.0 26.0  
EV evermanni    f 10.5 11.0  
EV evermanni    m 67.5  2.375 
EV evermanni    m 45.0f 1.25 
EV evermanni    f 22.0f 2.375
EV evermanni    f 30.0f 0.75 
EV evermanni    m 25.0f 0.625
EV evermanni    m 72.0  1.375
EV evermanni    m 56.0 13.0  
EV evermanni    f 61.0  1.75 
EV evermanni    f 53.0  2.0  
EV evermanni    f 30.0  3.5  
EV evermanni    f 73.0  5.25 
EV evermanni    f 78.0  3.0  
EV evermanni    m 90.5 22.5  
EV evermanni    f 92.0 42.0  
EV evermanni    m 94.0 42.0  
EV evermanni    f 96.0 12.0  
EV evermanni    m 94.0  1.5  
GU gundlachi    f 32.5  1.25 
GU gundlachi    f  9.0  0.5  
GU gundlachi    m 37.0  7.5  
GU gundlachi    m 21.0  6.25 
GU gundlachi    f 17.7  0.625 
GU gundlachi    m 28.0  7.0  
GU gundlachi    f  6.0  1.0  
GU gundlachi    m 31.0 12.0  
GU gundlachi    f 12.5 17.0  
GU gundlachi    f 00.0 999    
GU gundlachi    m 52.5  6.25 
GU gundlachi    m 48.0  3.875
GU gundlachi    f 99.0  1.125
GU gundlachi    m  8.0f 3.0  
GU gundlachi    m  6.0f 1.625
GU gundlachi    m 29.0  1.5  
GU gundlachi    f 36.5  0.75 
GU gundlachi    m 43.0  4.0  
GU gundlachi    f  0.0 999   
GU gundlachi    m 23.0  2.625
GU gundlachi    f 23.0  2.625
GU gundlachi    m 73.0  4.5  
GU gundlachi    m 53.0  3.75  
GU gundlachi    m 54.0  5.0  
GU gundlachi    m 26.0  7.75 
GU gundlachi    f  0.0 999  
GU gundlachi    m  8.0  0.5  
GU gundlachi    m 15.0  1.0  
GU gundlachi    m  8.5f 1.5  
GU gundlachi    m 21.0  2.5  
GU gundlachi    m 80.0  0.75 
