;"species";"sex";"spsex";"ecomorph";"pht";"pdia";"dist1";"dist2";"dist3";"island"
"1";"CR";"F";"CRF";"TG";0.8;0.03;"1.00";"1.00";"0.05";"pr"
"2";"CR";"F";"CRF";"TG";0.44;0.05;"1.00";"1.00";"0.35";"pr"
"3";"CR";"F";"CRF";"TG";0.08;0.055;"1.00";"1.00";"0.05";"pr"
"4";"CR";"F";"CRF";"TG";0.34;0.175;"0.15";"0.32";"0.81";"pr"
"5";"CR";"F";"CRF";"TG";0.84;0.14;"0.60";"0.15";"1.00";"pr"
"6";"CR";"F";"CRF";"TG";0;0;"0.34";"1.00";"1.00";"pr"
"7";"CR";"F";"CRF";"TG";0.6;0.36;"0.28";"0.33";"1.00";"pr"
"8";"CR";"F";"CRF";"TG";0.35;0.032;"0.04";"0.25";"0.28";"pr"
"9";"CR";"F";"CRF";"TG";1.64;0.255;"0.27";"0.64";"1.00";"pr"
"10";"CR";"F";"CRF";"TG";0.8;0.075;"0.21";"1.00";"0.36";"pr"
"11";"CR";"F";"CRF";"TG";0.3;0.02;"0.09";"0.12";"0.17";"pr"
"12";"CR";"F";"CRF";"TG";1.1;0.04;"0.14";"1.00";"0.40";"pr"
"13";"CR";"F";"CRF";"TG";0.82;0.16;"0.16";"0.45";"0.35";"pr"
"14";"CR";"F";"CRF";"TG";0.73;0.09;"0.10";"1.00";"0.70";"pr"
"15";"CR";"F";"CRF";"TG";0.96;0.02;"0.11";"0.58";"0.16";"pr"
"16";"CR";"F";"CRF";"TG";0.78;0.068;"0.17";"0.63";"0.32";"pr"
"17";"CR";"F";"CRF";"TG";1.19;0.42;"0.76";"1.00";"1.00";"pr"
"18";"CR";"F";"CRF";"TG";0.6;0.09;"0.27";"0.81";"0.15";"pr"
"19";"CR";"F";"CRF";"TG";0.69;0.11;"0.35";"0.13";"1.00";"pr"
"20";"CR";"F";"CRF";"TG";0.55;0.04;"0.05";"0.15";"0.10";"pr"
"21";"CR";"F";"CRF";"TG";0.73;0.53;"1.00";"1.00";"0.63";"pr"
"22";"CR";"F";"CRF";"TG";0.88;0.12;"0.17";"1.00";"1.00";"pr"
"23";"CR";"F";"CRF";"TG";0.68;0.014;"0.42";"1.00";"0.44";"pr"
"24";"CR";"F";"CRF";"TG";2.8;0.18;"0.49";"1.00";"0.23";"pr"
"25";"CR";"F";"CRF";"TG";1.67;0.44;"0.99";"1.00";"1.00";"pr"
"26";"CR";"F";"CRF";"TG";1.82;0.17;"1.00";"1.00";"1.00";"pr"
"27";"CR";"F";"CRF";"TG";0.81;0.025;"0.06";"1.00";"1.00";"pr"
"28";"CR";"F";"CRF";"TG";0.91;0.72;"0.44";"1.00";"1.00";"pr"
"29";"CR";"F";"CRF";"TG";1.18;0.014;"0.21";"1.00";"1.00";"pr"
"30";"CR";"F";"CRF";"TG";1.42;0.16;"0.77";"1.00";"1.00";"pr"
"31";"CR";"F";"CRF";"TG";0.6;0.03;"0.15";"0.21";"0.29";"pr"
"32";"CR";"F";"CRF";"TG";0.96;0.017;"0.05";"1.00";"1.00";"pr"
"33";"CR";"F";"CRF";"TG";0.38;0.06;"0.27";"0.60";"0.30";"pr"
"34";"CR";"F";"CRF";"TG";0.19;0.16;"0.07";"1.00";"0.55";"pr"
"35";"CR";"F";"CRF";"TG";0.55;0.13;"0.09";"1.00";"0.06";"pr"
"36";"CR";"F";"CRF";"TG";0.21;0.09;"0.20";"0.51";"0.44";"pr"
"37";"CR";"F";"CRF";"TG";0.39;0.44;"0.30";"1.00";"1.00";"pr"
"38";"CR";"F";"CRF";"TG";0.61;0.15;"0.13";"0.62";"0.22";"pr"
"39";"CR";"F";"CRF";"TG";1.2;0.8;"0.68";"1.00";"1.00";"pr"
"40";"CR";"F";"CRF";"TG";0.52;0.005;"0.06";"0.47";"1.00";"pr"
"41";"CR";"F";"CRF";"TG";2;0.61;"0.15";"1.00";"1.00";"pr"
"42";"CR";"F";"CRF";"TG";1.75;0.61;"0.12";"1.00";"1.00";"pr"
"43";"CR";"F";"CRF";"TG";0.72;0;"0.20";"1.00";"0.22";"pr"
"44";"CR";"F";"CRF";"TG";0.75;0.15;"0.33";"1.00";"1.00";"pr"
"45";"CR";"M";"CRM";"TG";0.88;0.07;"1.00";"1.00";"1.00";"pr"
"46";"CR";"M";"CRM";"TG";0.3;0.13;"1.00";"1.00";"0.68";"pr"
"47";"CR";"M";"CRM";"TG";2;0.31;"1.00";"1.00";"1.00";"pr"
"48";"CR";"M";"CRM";"TG";0;0;"1.00";"1.00";"0.29";"pr"
