"ecomorph","species","sex","svl","mass","forel","hindl","lamn"
"CG","CU","F",118,37,55,87,30
"CG","CU","F",117,46.2,53,88,30
"CG","CU","F",119,32,53,91,28
"CG","GA","F",77,10.2,31,54,30
"CG","GA","F",84.5,14,35,58,31
"CG","GA","F",75,10.5,30,53,28
"CG","GA","F",80,11.75,35,52,29
"CG","GA","F",78,11.5,33,52,29
"CG","GA","F",85.5,14.75,36,59,28
"CG","GA","F",66,6.5,29,49,27
"CG","GA","F",81,11.75,33,55,28
"CG","GA","F",81.5,15,34,57,26
"CG","GA","F",71,9.75,31,51,27
"CG","GA","F",83,14,33.5,55,27
"CG","GA","F",78,11.5,34.5,56,29
"CG","CU","M",136,51,63,100,31
"CG","CU","M",127,40.5,59,97.5,30
"CG","CU","M",133,40.5,60.5,102,29
"CG","CU","M",138,58.5,62,103,31
"CG","CU","M",131,47,62.5,107,30
"CG","CU","M",137,54.75,61,105,29
"CG","GA","M",103,23.5,41,71,33
"CG","GA","M",129,57,53,86,32
"CG","GA","M",115,40,50.5,81,29
"CG","GA","M",117,41.75,51,83,31
"CG","GA","M",122,45.6,53,85,28
"CG","GA","M",115,44.5,54,82,28
"CG","GA","M",113,42.75,52,74,29
"CG","GA","M",116,33,48,75,31
"CG","GA","M",113,39,48.5,79,28
"CG","GA","M",108,32.25,49,80,31
"GB","KR","F",40.5,1.6,16,31,18
"GB","KR","F",38.5,1.4,16.5,31,19
"GB","KR","F",39,1.4,16,31,19
"GB","KR","F",36.5,1.1,17,31.5,22
"GB","KR","F",37.5,1.2,16,31.5,18
"GB","KR","F",35,1,16,31,20
"GB","KR","F",36,1.1,16,29,20
"GB","KR","F",37,1,14.5,29,20
"GB","KR","F",38,1.35,16,31,19
"GB","KR","F",37,1,16.5,30.5,18
"GB","KR","F",36,1.1,16,29,19
"GB","KR","F",36.5,1.05,16,30.5,20
"GB","KR","F",37,1.25,16.5,31,20
"GB","KR","F",37,2.3,16,30,19
"GB","KR","F",37.5,1.2,16,31,18
"GB","KR","F",32,1.3,15,30,20
"GB","KR","F",37.5,1.2,16,30,17
"GB","KR","F",39.5,1.4,16.5,31,20
"GB","KR","F",39.5,1.3,16.5,31,19
"GB","PO","F",37.5,1.4,14.5,26,17
"GB","PO","F",38,1.4,15.5,27,16
"GB","PO","F",36,1.3,16,28,17
