"Species","Ecomorph","TibiaL","HandL","FootL","TPA3F","TPA4H","SVL"
"Al. brunhildae","Scansorial",7.6,4.9,6.5,1.2,1.03,18.7
"Al. exclamitans","Scansorial",7.2,4.6,6.1,1.2,1,17.3
"Au. blumi","Terrestrial",10.4,5.1,10,0.6,0.8,21.6
"Au. macrorhyncha","Semi-Aquatic",,,,1.45,1.8,31.2
"Au. parkeri","Terrestrial",9,4.3,9.4,0.5,0.9,19.1
"Au. septentrionalis","Terrestrial",12.6,6.4,11.6,0.8,1,29.7
"Au. yelaensis","Terrestrial",7.8,4.1,7.9,0.4,0.7,18.4
"B. atra","Fossorial",18.5,,,,,39.9
"Ca. doriae","Semi-Fossorial",31.1,,,2,2.25,74.2
"Ca. personatus","Semi-Fossorial",29.4,,,1.8,2.2,73.2
"Ca. robustus","Semi-Fossorial",23.3,14.3,25.2,1.7,2,63.1
"Cx. balbus","Scansorial",13.5,8,12.9,1.9,1.3,23.6
"Cx. cheesmanae","Terrestrial",14.3,,,1.45,1.2,26.9
"Cx. cupricarenus","Terrestrial",13.2,,,1.3,1.3,25.4
"Cx. kethuk","Terrestrial",6,,,0.4,0.7,13.4
"Cx. melanops","Terrestrial",9.5,,,0.6,0.8,17.7
"Cx. vaerrucosus","Terrestrial",14.6,,,1.6,1.5,26.8
"Co. fistulans","Terrestrial",17.84,7.75,16.2,1.02,1.42,33.3
"H. proekes","Terrestrial",17.1,8.7,15.5,1,1.6,31.4
"L. magnitympanum","Semi-Fossorial",12,5.3,11.8,0.6,1.1,23.4
"L. schlaginhaufeni","Terrestrial",16.9,,,0.75,0.95,31.4
"M. axanthogaster","Terrestrial",20.9,11,21.5,1.2,1.8,43.5
"O. inornata","Arboreal",13.8,9.4,13.8,2.29,2.26,32.2
"O. insulana","Arboreal",9.7,6.3,9.2,1.3,0.9,22.9
"O. loriae","Arboreal",10.4,,,1.6,1.6,24
"O. parkeri","Arboreal",9.6,,,1.7,1.5,22.8
"Xb. mehelyi","Fossorial",13.5,5.8,13.5,,,27.6
"Xb. ocellatus","Fossorial",13.1,7.4,14.1,,,34.9
"Xb. tumulus","Fossorial",11.6,5.4,11.9,0.7,1,26.8
"Xr. adisca","Fossorial",8.77,4.83,9.43,0.53,0.47,21.97
"Al. darlingtoni","Scansorial",9.2,5.8,7.3,1.4,1.05,21.8
"Al. fafniri","Scansorial",8.8,6.2,8.2,1.3,1.1,21.9
"Al. gudrunae","Scansorial",7,4.3,5.8,1.02,0.83,15.5
"Al. gunnari","Scansorial",8,5.3,6.5,1.3,1,17.1
"Al. rhenaurum","Scansorial",6.7,4.6,5.8,1.2,1,15.7
"Al. sanguinopictus","Scansorial",7.2,5.1,6.1,1.3,1,16.3
"Al. siegfriedi","Scansorial",7.7,5.5,7.3,1.2,1,18.4
"Al. swanhildae","Scansorial",6.6,4,5.5,0.9,0.7,14.7
"Al. tuberculus","Scansorial",6.9,4.6,6,1.2,1,16
"Al. valkuriarum","Scansorial",6.3,4.4,5.7,1,0.8,15.9
"Ap. minuta","Semi-Fossorial",4.1,,,,,12.2
"Ap. pansa","Semi-Fossorial",7.3,,,,,23.3
"Au. aquilonia","Terrestrial",13.4,6.8,13.5,0.7,0.9,29.1
"Au. brevipes","Terrestrial",7.6,,,0.35,,20.5
"Au. hooglandi","Scansorial",18.73,9.52,17.38,1.22,1.55,39.3
"B. cheesmanae","Fossorial",10,,,,,35.9
"Ca. comptus","Semi-Fossorial",15.4,,,0.8,1,36.7
"Ca. humicola","Semi-Fossorial",20.4,,,1,1.2,44.2
"Ca. marmoratus","Semi-Fossorial",24.5,,,1.6,2,52
"Ca. whilhelmanis","Semi-Fossorial",18.5,13.1,22,0.93,1.06,52
"Cx. aimbensis","Scansorial",13.47,7.5,12.17,1.78,1.23,23.61
"Cx. ateles","Scansorial",5.7,2.9,,0.6,0.5,13.3
"Cx. biroi","Scansorial",13.2,7.1,12.4,1.4,1.2,25.7
"Cx. cryptotympanum","Scansorial",11.6,,,1.4,1.1,23.4
"Cx. daymani","Scansorial",6.4,4.3,6.2,0.83,0.53,14.8
"Cx. desticans","Terrestrial",7.6,,,0.5,0.8,14.4
"Cx. interruptus","Terrestrial",1.01,,,0.64,0.68,17.7
"Cx. iovaorum","Terrestrial",6.5,,,0.4,0.7,14.6
"Cx. linnaeus","Terrestrial",7.7,,,0.7,0.7,14.2
"Cx. misimae","Terrestrial",9.3,,,0.5,0.7,17.1
"Cx. tomaiodactylus","Terrestrial",6.5,,,0.4,0.6,14.4
"Cx. phaeobalius","Terrestrial",7.3,,,0.44,0.55,15.3
"Cx. verecundus","Terrestrial",6.4,,,0.4,0.6,14.2
"Co. minor","Terrestrial",12.3,5.6,12.1,0.77,1.2,24.5
"Co. oxyrhina","Terrestrial",13.7,6.3,13.7,0.8,1.1,25.3
"H. extimus","Terrestrial",19.8,9.2,18.6,0.98,1.55,39.1
"H. macra","Terrestrial",16.8,6.6,10.7,0.75,1.2,32.6
"H. myopicus","Terrestrial",24.5,11.2,23.1,1.2,1.9,44.8
"H. rufescens","Terrestrial",17.4,7.4,15.8,0.8,1.3,31.9
"L. rhododactyla","Terrestrial",27.4,,,1.6,1.8,54.2
"M. lateralis","Terrestrial",18.4,,,0.8,1.2,38.5
"M. louisiadensis","Terrestrial",25.3,12.3,23.8,1.4,2,47.1
"O. anthonyi","Arboreal",15.8,,,2.65,1.95,36.8
"O. indenbughensis","Arboreal",19.4,,,3.55,2.55,46.3
"O. kampeni","Arboreal",10.5,6.2,8.7,1.36,0.93,22.2
"Xb. anorbis","Fossorial",7.5,4.2,7.4,,,20.7
"Xb. arfakianus","Fossorial",21.4,11.4,22.1,,,50
"Xb. bidens","Fossorial",14.6,5.9,14.1,,,27.5
"Xb. fuscigula","Fossorial",14.6,7.4,14.6,,,38.07
"Xb. huon","Fossorial",10.1,6.2,11.3,,,29.4
"Xb. macrops","Fossorial",11.3,,,,,23
"Xb. multisica","Fossorial",23.1,11.4,23,,,51.2
"Xb. ophiodon","Fossorial",15.3,5.9,15,,,28.7
"Xb. rostratus","Fossorial",17.9,9.3,17.8,,,45
"Xb. schiefenoeveil","Fossorial",11.1,5.6,11.5,,,29.1
"Xb. subcroceus","Fossorial",15.9,6.4,14.6,,,31.5
"Xb. zweifeli","Fossorial",15.2,7.4,15.4,0.9,1.3,36.2
"Xr. mehelyi","Fossorial",15,,,,,35
