,"species","family","SVL","TL","HL","FLL","HLL","Nfingers","Ntoes","N","ecology","source","PC1","PC2","PC3","morph","eco"
1,"Agamadon anguliceps","Amphisbaenia",74.7,8.3,3.1,0,0,0,0,1,"burrowing","Zug et al. (2001)",-0.88,-0.41,-2.73,1,1
2,"Amphisbaena alba","Amphisbaenia",474,40.1,12.6,0,0,0,0,6,"burrowing","Zug et al. (2001)",-1.08,2.06,-1.06,1,1
3,"Bipes biporus","Amphisbaenia",167.2,16,3.6,6.1,0,5,0,6,"burrowing","Zug et al. (2001)",-0.02,0.57,-2.78,1,1
4,"Bipes canaliculatus","Amphisbaenia",182.5,29.6,4.5,6.5,0,4,0,3,"burrowing","Zug et al. (2001)",-0.22,0.63,-1.93,1,1
5,"Bipes tridactyluls","Amphisbaenia",127.5,36,3.7,6,0,3,0,2,"burrowing","Zug et al. (2001)",-0.42,0.03,-1.52,1,1
6,"Blanus cinereus","Amphisbaenia",174.9,21.8,4.1,0,0,0,0,5,"burrowing","Zug et al. (2001)",-1.13,0.3,-1.67,1,1
7,"Chirindia swimmertoni","Amphisbaenia",126,14.5,2,0,0,0,0,2,"burrowing","Zug et al. (2001)",-1.16,-0.54,-2.18,1,1
8,"Diplometopon zarudnyi","Amphisbaenia",148.7,12.3,4.3,0,0,0,0,3,"burrowing","Zug et al. (2001)",-0.94,0.4,-2.38,1,1
9,"Geocalamus acutus","Amphisbaenia",230.7,26.3,4.5,0,0,0,0,1,"burrowing","Zug et al. (2001)",-1.17,0.57,-1.5,1,1
10,"Monopeltis capensis","Amphisbaenia",298.7,9.3,4.5,0,0,0,0,2,"burrowing","Zug et al. (2001)",-0.84,1.19,-2.95,1,1
11,"Rhineura floridana","Amphisbaenia",317.2,16.5,5.4,0,0,0,0,5,"burrowing","Zug et al. (2001)",-0.99,1.21,-2.19,1,1
12,"Trognophis wiegmanni","Amphisbaenia",157.5,10.9,5.7,0,0,0,0,6,"burrowing","Zug et al. (2001)",-0.83,0.76,-2.53,1,1
13,"Abronia graminea","Anguidae",96.2,144,13.1,22.9,30.5,5,5,8,"arboreal","Campbell & Frost (1993)",0.87,0.42,0.41,0,0
14,"Anguis fragilis","Anguidae",142.3,148.1,6.7,0,0,0,0,13,"terrestrial","Arnold & Burton (1978)",-1.63,-0.12,0.97,2,0
15,"Anniella geronimensis","Anguidae",118.5,51.9,4.3,0,0,0,0,12,"burrowing","Stebbins (1985)",-1.4,-0.33,-0.41,1,1
16,"Anniella pulchra","Anguidae",137.9,62.9,5,0,0,0,0,20,"burrowing","Stebbins (1985)",-1.42,-0.12,-0.18,1,1
17,"Barisia imbricata","Anguidae",110.3,139.4,13.8,22,28,5,5,12,"terrestrial","JJW pers. obs.",0.87,0.61,0.33,0,0
18,"Celestus enneagrammus","Anguidae",72.6,99.2,7.3,11,16.1,5,5,6,"terrestrial (account for genera)","Pianka & Vit (2003), Savage (2002)",0.62,-0.34,0.01,0,0
19,"Diploglossus bilobatus","Anguidae",70.3,97,7.5,10.7,16.2,5,5,9,"terrestrial ""semi-fossorial""","Savage (2002)",0.63,-0.34,-0.01,0,0
20,"Diploglossus pleei","Anguidae",87.2,97.6,7.8,9.6,15.3,5,5,2,"terrestrial","Schwartz & Henderson (1991)",0.61,-0.12,-0.05,0,0
21,"Elgaria coerulea","Anguidae",86.5,149.3,11.4,19.8,27.3,5,5,9,"terrestrial","Stebbins (1985)",0.78,0.16,0.49,0,0
22,"Elgaria kingii","Anguidae",79.6,165.1,9.3,14.2,19.1,5,5,11,"terrestrial","Stebbins (1985)",0.59,-0.18,0.65,0,0
23,"Elgaria multicarinata","Anguidae",110.4,204.5,13.5,25.5,32,5,5,11,"terrestrial","Stebbins (1985)",0.79,0.47,0.82,0,0
24,"Elgaria panamintina","Anguidae",109.9,192.7,13.2,24.6,31.1,5,5,3,"terrestrial","Stebbins (1985)",0.79,0.46,0.75,0,0
25,"Elgaria paucicarinata","Anguidae",87.6,132.5,11,16.2,23.3,5,5,8,"terrestrial","Stebbins (1985)",0.75,0.16,0.34,0,0
26,"Gerrhonotus liocephalus","Anguidae",131.7,238.8,15.4,24,28.4,5,5,10,"terrestrial, arboreal","Alvarez del Toro (1982)",0.74,0.69,0.99,0,0
27,"Mesaspis moreleti","Anguidae",66.8,103.8,8.2,15.1,19,5,5,15,"terrestrial","Alvarez del Toro (1982)",0.72,-0.29,0.07,0,0
28,"Ophiodes striatus","Anguidae",184.2,311.2,9.7,0,8,0,1,3,"terrestrial","Cei (1993)",-1.26,0.13,2,1,0
29,"Ophisaurus apodus","Anguidae",321.2,534.2,21,0,2.8,0,1,15,"terrestrial","Arnold & Burton (1978)",-1.39,1.17,2.6,1,0
30,"Ophisaurus attenuatus","Anguidae",200.2,508.7,13.2,0,0,0,0,13,"terrestrial","refs. in Wiens & Slingluff (2001)",-1.87,0.39,2.57,1,0
31,"Ophisaurus harti","Anguidae",205.2,317.5,11,0,0,0,0,12,,,-1.76,0.41,1.92,1,
32,"Ophisaurus koellikeri","Anguidae",183.3,333,12,0,4.4,0,1,4,"terrestrial, cryptic, burrowing","Schleich et al. (1996)",-1.31,0.3,2.1,1,0
33,"Ophisaurus ventralis","Anguidae",212.7,419.6,13.8,0,0,0,0,11,"terrestrial","refs. in Wiens & Slingluff (2001)",-1.8,0.56,2.3,1,0
34,"Sauresia agasepsoides","Anguidae",60,61,4,3.4,6.8,4,4,3,"terrestrial","Schwartz & Henderson (1991)",0.2,-1.02,-0.49,1,0
35,"Wetmorena haetiana","Anguidae",68.7,72,6.2,6.9,11.1,4,4,14,"terrestrial","Schwartz & Henderson (1991)",0.43,-0.47,-0.33,0,0
36,"Chaemasaura anguina","Cordylidae",121.6,444.7,9.3,3.9,7.2,1,1,6,"terrestrial, grass-swimming","Branch (1998)",-0.82,-0.2,2.21,2,0
37,"Cordylus cataphractus","Cordylidae",89,86.1,15.1,29.8,39.4,5,5,6,"saxicolous","Branch (1998)",1.16,0.7,-0.26,0,0
38,"Cordylus cordylus","Cordylidae",82.4,87.8,13.1,26.8,39.1,5,5,5,"saxicolous","Branch (1998)",1.1,0.48,-0.21,0,0
