"","x"
"1","Aphantophryne minuta"
"2","Aphantophryne nana"
"3","Aphantophryne pansa"
"4","Aphantophryne parkeri"
"5","Aphantophryne sabini"
"6","Asterophrys eurydactyla"
"7","Asterophrys foja"
"8","Asterophrys leucopus"
"9","Asterophrys marani"
"10","Asterophrys pullifer"
"11","Asterophrys slateri"
"12","Asterophrys turpicola"
"13","Austrochaperina adamantina"
"14","Austrochaperina adelphe"
"15","Austrochaperina alexanderi"
"16","Austrochaperina aquilonia"
"17","Austrochaperina archboldi"
"18","Austrochaperina basipalmata"
"19","Austrochaperina blumi"
"20","Austrochaperina brevipes"
"21","Austrochaperina derongo"
"22","Austrochaperina fryi"
"23","Austrochaperina gracilipes"
"24","Austrochaperina hooglandi"
"25","Austrochaperina kosarek"
"26","Austrochaperina laurae"
"27","Austrochaperina macrorhyncha"
"28","Austrochaperina mehelyi"
"29","Austrochaperina minutissima"
"30","Austrochaperina novaebritanniae"
"31","Austrochaperina palmipes"
"32","Austrochaperina parkeri"
"33","Austrochaperina pluvialis"
"34","Austrochaperina polysticta"
"35","Austrochaperina punctata"
"36","Austrochaperina rivularis"
"37","Austrochaperina robusta"
"38","Austrochaperina rudolfarndti"
"39","Austrochaperina septentrionalis"
"40","Austrochaperina yelaensis"
"41","Barygenys apodasta"
"42","Barygenys atra"
"43","Barygenys cheesmanae"
"44","Barygenys exsul"
"45","Barygenys flavigularis"
"46","Barygenys maculata"
"47","Barygenys nana"
"48","Barygenys parvula"
"49","Barygenys resima"
"50","Callulops argus"
"51","Callulops biakensis"
"52","Callulops bicolor"
"53","Callulops boettgeri"
"54","Callulops comptus"
"55","Callulops doriae"
"56","Callulops dubius"
"57","Callulops eremnosphax"
"58","Callulops fojaensis"
"59","Callulops fuscus"
"60","Callulops glandulosus"
"61","Callulops humicola"
"62","Callulops kopsteini"
"63","Callulops marmoratus"
"64","Callulops mediodiscus"
"65","Callulops microtis"
"66","Callulops neuhaussi"
"67","Callulops omnistriatus"
"68","Callulops personatus"
"69","Callulops robustus"
"70","Callulops sagittatus"
"71","Callulops stellatus"
"72","Callulops stictogaster"
"73","Callulops taxispilotus"
"74","Callulops valvifer"
"75","Callulops wilhelmanus"
"76","Callulops wondiwoiensis"
"77","Callulops yapenensis"
"78","Choerophryne alainduboisi"
"79","Choerophryne allisoni"
"80","Choerophryne alpestris"
"81","Choerophryne amomani"
"82","Choerophryne arndtorum"
"83","Choerophryne bickfordi"
"84","Choerophryne bisyllaba"
"85","Choerophryne brevicrus"
"86","Choerophryne brunhildae"
"87","Choerophryne bryonopsis"
"88","Choerophryne burtoni"
"89","Choerophryne crucifer"
"90","Choerophryne darlingtoni"
"91","Choerophryne epirrhina"
"92","Choerophryne exclamitans"
"93","Choerophryne fafniri"
"94","Choerophryne gracilirostris"
"95","Choerophryne grylloides"
"96","Choerophryne gudrunae"
"97","Choerophryne gunnari"
"98","Choerophryne laurini"
"99","Choerophryne longirostris"
"100","Choerophryne microps"
"101","Choerophryne multisyllaba"
"102","Choerophryne murrita"
"103","Choerophryne nigrescens"
"104","Choerophryne pandanicola"
"105","Choerophryne pipiens"
"106","Choerophryne proboscidea"
"107","Choerophryne rhenaurum"
"108","Choerophryne rostellifer"
"109","Choerophryne sanguinopicta"
"110","Choerophryne siegfriedi"
"111","Choerophryne swanhildae"
"112","Choerophryne tubercula"
"113","Choerophryne valkuriarum"
"114","Choerophryne variegata"
"115","Cophixalus aenigma"
"116","Cophixalus albolineatus"
"117","Cophixalus amabilis"
"118","Cophixalus ateles"
"119","Cophixalus australis"
"120","Cophixalus balbus"
"121","Cophixalus bewaniensis"
"122","Cophixalus biroi"
"123","Cophixalus bombiens"
"124","Cophixalus cateae"
"125","Cophixalus caverniphilus"
"126","Cophixalus cheesmanae"
"127","Cophixalus clapporum"
"128","Cophixalus concinnus"
"129","Cophixalus crepitans"
"130","Cophixalus cryptotympanum"
"131","Cophixalus cupricarenus"
"132","Cophixalus daymani"
"133","Cophixalus desticans"
"134","Cophixalus exiguus"
"135","Cophixalus hannahae"
"136","Cophixalus hinchinbrookensis"
"137","Cophixalus hosmeri"
"138","Cophixalus humicola"
"139","Cophixalus infacetus"
"140","Cophixalus interruptus"
"141","Cophixalus iovaorum"
"142","Cophixalus kaindiensis"
"143","Cophixalus kethuk"
"144","Cophixalus kulakula"
"145","Cophixalus linnaeus"
"146","Cophixalus mcdonaldi"
"147","Cophixalus melanops"
"148","Cophixalus misimae"
"149","Cophixalus monosyllabus"
"150","Cophixalus montanus"
"151","Cophixalus monticola"
"152","Cophixalus neglectus"
"153","Cophixalus nexipus"
"154","Cophixalus nubicola"
