"Date",,"Iguana ",,,,,,,
"Normal","Day #","A","B","C","E","H","K","O","P"
2/27/2005,1,1.57,1.78,2.6,2.26,1.74,2.16,1.3,1.38
3/2/2005,5,1.47,1.7,2.44,2.13,1.66,2.02,1.19,1.31
3/3/2005,6,1.46,1.73,2.55,2.12,1.66,2.02,1.2,1.34
3/7/2005,10,1.42,1.75,2.5,2.18,1.68,2,,
3/8/2005,11,,,,,,,1.13,1.33
3/10/2005,13,,1.74,,2.18,1.67,1.96,,
3/11/2005,14,,,,,,,1.1,1.33
3/14/2005,17,1.37,1.76,2.49,2.22,1.68,1.95,,
3/15/2005,18,,,,,,,1.02,1.32
3/18/2005,21,1.37,1.78,2.45,2.23,1.71,1.89,,
3/19/2005,22,,,,,,,1.05,1.31
3/21/2005,24,1.3,1.79,1.51,2.23,1.7,1.85,,
3/23/2005,26,1.29,1.78,1.6,2.25,1.72,1.81,,
3/24/2005,27,1.21,1.09,,2.28,,1.38,1.05,0.85
3/25/2005,28,,1.09,1.56,,,1.36,,0.85
3/28/2005,31,,1.09,1.62,1.38,1.14,1.29,,0.84
3/29/2005,32,1.09,,1.58,,,1.27,,0.83
3/30/2005,33,,1.08,,1.33,1.03,1.24,,
3/31/2005,34,,,,1.4,,,,
4/1/2005,35,1.09,1.05,1.73,1.48,1.01,1.23,,0.83
4/2/2005,36,,,,,,,,
4/4/2005,38,1.09,1.05,1.71,,,1.19,,0.79
4/5/2005,39,,,,1.27,1.07,,,
4/7/2005,41,1.06,1.05,,,,1.19,,0.82
4/8/2005,42,,,1.67,1.36,1.04,,,
4/12/2005,46,1.07,1.04,,1.39,,,1.14,0.82
4/15/2005,49,1.11,1.08,,1.5,,1.26,,
4/18/2005,51,1.04,1.06,1.77,1.36,1.05,1.28,1.09,0.8
5/3/2005,66,1.07,1.04,2,1.51,1.04,1.28,1.24,0.82
5/10/2005,73,,,,,,,,
5/12/2005,75,,,,,,,1.26,0.85
5/13/2005,76,1.12,1.04,2.09,1.55,1.09,1.32,,
5/16/2005,79,,,,,,,,
5/17/2005,80,1.08,0.99,2,1.51,1.04,1.36,1.24,0.82
5/19/2005,82,,,,,,,,
5/20/2005,83,1.12,1.03,1.99,1.5,1.11,1.4,1.22,0.84
5/24/2005,87,1.07,1.06,2.12,1.61,1.16,1.49,1.23,0.85
5/27/2005,90,1.07,1.1,2.12,1.61,1.14,1.44,1.21,0.84
5/30/2005,93,1.07,1,1.99,1.61,1.09,1.46,1.22,0.82
7/14/2005,142,1.49,1.31,2.63,2.02,1.58,2,1.76,
7/21/2005,149,,,,,,,,0.91
8/11/2005,170,1.52,1.28,2.64,2,1.5,2.04,1.78,0.89
,,,,,,,,,
"Egg Laid",,03/22/05,3/24/2005,3/20/2005,3/28/2005,,3/31/2005,,3/24/2005
